name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,release_clause_eur,team_position,team_jersey_number,joined,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_league,likes,dislikes,follows,comments,minutes_played_overall,goals_overall,clean_sheets_overall
Unai Simón Mendibil,21,190,89,Spain,Athletic Club de Bilbao,70,81,2400000,6000,Right,1,3,1,Normal,5500000.0,RES,25,25/08/2015,2023,,,,,,,72.0,69.0,62.0,71.0,47.0,70.0,16,14,18,29,17,12,20,14,21,16,46,48,32,63,47,17,58,45,73,13,27,26,14,31,24,48,11,18,12,72,69,62,70+9,71, Spain Primera Division (1),20.0,1.0,171.0,"['Nex Kepa 80', '80 ', '80/86 what a season is having with Athletic ', 'Underrated', '80/87', 'MOTM, Saved both Griezmann and Messi chances, got them through to the next round!', '80/88', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",630,0,0
David von Ballmoos,23,192,90,Switzerland,BSC Young Boys,70,80,2200000,8000,Right,1,3,1,Normal,3700000.0,GK,26,01/07/2015,2022,,,,,,,71.0,69.0,67.0,72.0,50.0,68.0,16,16,13,31,20,17,19,13,27+4,23+2,55+8,46+4,45+10,58,51+10,25,64+7,34+6,81,15,18,26,16,30,28-Feb,61,9,19,15,71+2,69+1,67+2,68+1,72+4, Swiss Super League (1),6.0,0.0,31.0,"['72/84', 'Just have to Love his name', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2946,0,15
Pierluigi Gollini,23,188,80,Italy,Atalanta,70,78,2000000,9000,Right,1,3,1,Lean,3700000.0,SUB,95,02/07/2018,2023,,,,,,,73.0,59.0,60.0,76.0,47.0,70.0,17,14,19,31,20,18,13,15,25,24,46,48,56,72,52,23,52,40,68,17,19,18,12,30,21,63,20,12,19,73,59,60,70,76, Italian Serie A (1),9.0,1.0,49.0,"['Masterclass EA truly wonderful update', 'His kicking and his composure are terrible but the rest of his game is decent', 'I woul say 82/86 for sure ,', 'After all the good saves he made in Champions league and in Serie A this season', '79/85', '79/86', '74/82', '79/86', '78/85', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",1800,0,4
Jonas Omlin,24,189,80,Switzerland,FC Basel 1893,70,78,2000000,9000,Right,1,3,1,Lean,3300000.0,GK,1,14/06/2018,2022,,,,,,,72.0,66.0,67.0,72.0,50.0,67.0,24,17,24,45,15,27,21,16,35,31,49,51,32,68,51,26,57,35,72,18,19,25,17,28,27,57,20,21,24,72,66,67,67,72, Swiss Super League (1),1.0,0.0,8.0,"['3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2430,0,10
Antonio Sivera Salvá,21,184,75,Spain,Deportivo Alavés,70,77,1900000,6000,Right,1,3,1,Normal,4300000.0,SUB,13,19/07/2017,2021,,,,,,,69.0,68.0,65.0,70.0,57.0,74.0,22,15,14,32,16,14,34,12,34,27,59,55,60,60,46,33,65,45,58,12,25,24,16,41,24,50,11,17,12,69,68,65,74,70, Spain Primera Division (1),3.0,0.0,15.0,"['needs potential upgrade.', 'He have the talent to become the new Cañizares', 'The game today vs Germany (under 19 national team) proves that Sivera could be a very good GK in the future. In Valencia people call him ""Xabia\'s Wall"" because his place of birth. He has the skills to be the future GK of our team. I think he deserves a really important upgrade in OVR and potential.', 'easily 80+ potential', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",270,0,0
Ethan Horvath,23,195,86,United States,Club Brugge KV,70,76,1800000,7000,Right,1,3,1,Normal,3000000.0,SUB,22,03/01/2017,2021,,,,,,,74.0,65.0,61.0,77.0,49.0,65.0,11,17,13,31,14,16,16,17,30,22,48,49,54,66,32,21,64,30,64,19,27,10,11,50,11,31,14,9,8,74,65,61,65,77, Belgian Jupiler Pro League (1),21.0,0.0,252.0,"['He had interest from some mid table Bundesliga clubs but decided he would rather play for Brugge so the club extended his contract.', 'Ffs when will Club Brugge finally get a goalie who’s actually good enough? Horvath is a good goalie on his day but just far too inconsistent for a team like Club Brugge. Letica isn’t even worth mentioning, he’s just a clown to be fair.', ""In think they'll buy Butez from Mouscron. He's a very good young talent (24), with experience (former Lille goalie)."", 'Amazing reflexes and no pressure, which is important for a club like Brugge.', '', ""As of Letica, I still think he hasa lot of talent, but his first season wasn't good at all, needs to improve asap"", '', 'It’s crazy to think that club brugge hasn’t had a good goalie for over 3-4 seasons. The last really good goalie i can remember was Matthew Ryan. Horvath is okay but too inconsistent and not dominant enough in his own penalty box, doesn’t really struck me as a confident guy. Letica isn’t good enough, hasn’t done shit and in my opinion he’s not even good enough for any PO I team. ', '', '', 'What does he need to do to get a higher rating?', 'Even fucking Frank the tank Boeckx us better then him in game', 'Brugge want to keep him as the starter if he is willing to stay', '72/77', 'GK', '73/78', '61 Agility', '68 Jumping', '78 Diving', '71 Handling']",2520,0,11
Marius Müller,24,192,90,Germany,RB Leipzig,70,75,1700000,15000,Right,1,3,1,Normal,3000000.0,RES,21,01/07/2016,2019,,,,,,,69.0,68.0,65.0,73.0,32.0,66.0,11,10,12,22,9,10,11,13,16,20,25,38,34,67,38,23,66,35,77,12,27,14,11,48,18,26,20,13,11,69,68,65,66,73, German 1. Bundesliga (1),5.0,1.0,21.0,"['3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Richard Strebinger,25,194,90,Austria,SK Rapid Wien,70,75,1700000,7000,Right,1,2,1,Normal,2700000.0,GK,1,01/07/2015,2022,,,,,,,70.0,64.0,63.0,79.0,32.0,67.0,15,14,16,26,12,12,17,13,21,20,33,32,39,67,34,23,66,30,73,14,20,15,13,12,23,28,14,13,12,70,64,63,67,79, Austrian Football Bundesliga (1),0.0,0.0,8.0,['© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com'],2880,0,12
Abdoulaye Diallo,26,191,82,Senegal,Stade Rennais FC,70,74,1600000,12000,Right,1,2,1,Lean,3200000.0,SUB,1,01/07/2009,2019,,,,,,,70.0,65.0,65.0,68.0,41.0,72.0,12,11,13,34,14,15,15,14,25,17,42,40,57,73,52,19,66,31,75,12,18,24,11,24,20,55,11,20,12,70,65,65,72,68, French Ligue 1 (1),0.0,0.0,14.0,"['Remember fifa 14...', 'Amazing, bought him with my Ginmastic Tarragona CM, he played all the season and he grow to 76 in only a season. Hope he reach 87+.', 'player gitched media 90 JUL 2021 :3 29 years old', ""went to 77 in a season whilst being constantly on the reserves and no training, think this guy's glitched"", 'Always grew to 87 at least in fifa 14', 'This guy is a glitch...He is a BEAST!!! 24 years old already 84 and still has plenty to grow', ""Tell me about it, bought him rated 85 at 26, and he's already grown to 88 in the same season. He's still got about 5 years of growth left!"", ""Yeahh and he can easily reach 90 as he did with me in my PSG career. If you need another glitched GK get Blaswich (German), I accidentaly found him 82 at age 26 where his real potential is only about 71!! I've got a bunch of glitched players whom I've discovered through personal experience...any help just tel me ;)"", '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",496,0,2
Paulo Dino Gazzaniga,26,196,90,Argentina,Tottenham Hotspur,70,74,1600000,29000,Right,1,3,1,Normal,3100000.0,RES,22,23/08/2017,2022,,,,,,,67.0,73.0,84.0,71.0,64.0,68.0,21,12,14,32,8,20,33,21,49,20,63,65,64,59,49,49,66,45,67,19,32,16,13,52,41,55,23,20,11,67,73,84,68,71, English Premier League (1),24.0,2.0,104.0,"['81/84', '80/82', '80/83', ""80/81 he's a very good keeper. Could start for almost any club."", 'Finally a somewhat decent upgrade. Still think he deserves an 80 ovr though...', '80/84', '78/81', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",270,0,1
Sokratis Dioudis,25,189,80,Greece,Panathinaikos FC,70,74,1600000,1000,Right,1,2,1,Normal,3700000.0,GK,1,08/08/2017,2020,,,,,,,74.0,70.0,63.0,74.0,43.0,64.0,13,13,15,26,18,13,19,19,23,24,40,45,36,61,59,19,54,33,52,20,18,21,13,14,28,59,17,20,11,74,70,63,64,74, Greek Super League (1),0.0,0.0,2.0,"['That downgrade', '+3 potential ,nice!', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2303,0,10
Artur Rudko,26,190,83,Ukraine,Dynamo Kyiv,70,74,1600000,1000,Right,1,3,1,Stocky,3500000.0,SUB,72,01/07/2009,2019,,,,,,,67.0,68.0,66.0,72.0,25.0,70.0,12,6,13,15,9,12,14,12,22,10,15,33,28,68,23,23,38,24,56,6,28,7,4,28,17,34,22,11,10,67,68,66,70,72, Ukrainian Premier League (1),0.0,0.0,0.0,[],0,0,0
Martin Hansen,28,189,85,Denmark,FC Basel 1893,70,73,1500000,11000,Right,1,3,1,Normal,2400000.0,SUB,35,17/07/2018,2020,,,,,,,70.0,67.0,65.0,69.0,49.0,71.0,8,20,12,12,13,13,14,13,11,23,51,48,48,73,51,15,70,33,67,16,24,24,15,26,14,58,23,14,14,70,67,65,71,69, Swiss Super League (1),2.0,0.0,9.0,"['SC Heerenveen on loan', 'Excellent debut', 'Bring him back to Liverpool ', 'More Shooting', 'Joined Ingolstadt', 'BEST FINISHER GK IN GAME', 'https://www.youtube.com/watch?v=laZztey4drA #NeverForget', 'Propper was like damn why against us', 'pretty good', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",802,0,0
Maxime Dupé,25,188,88,France,FC Nantes,70,72,1500000,10000,Right,1,2,1,Normal,3000000.0,SUB,1,01/07/2011,2021,,,,,,,71.0,71.0,61.0,72.0,45.0,66.0,10,10,13,34,10,11,12,11,29,22,48,42,35,67,39,21,54,21,71,11,35,23,11,32,18,58,9,11,11,71,71,61,66,72, French Ligue 1 (1),1.0,0.0,16.0,"['Hidden gem', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",939,0,1
Oleksiy Shevchenko,26,188,81,Ukraine,Shakhtar Donetsk,70,72,1500000,1000,Right,1,3,1,Normal,3200000.0,SUB,1,01/07/2018,2023,,,,,,,69.0,66.0,73.0,71.0,23.0,71.0,14,7,14,28,9,11,10,14,29,16,32,15,35,65,33,22,50,22,72,8,22,13,8,48,10,28,11,18,16,69,66,73,71,71, Ukrainian Premier League (1),1.0,0.0,1.0,[],270,0,3
Ricardo Abel Barbosa Ferreira,28,188,82,Portugal,Portimonense SC,70,71,1400000,5000,Right,1,3,1,Normal,3100000.0,GK,1,17/07/2014,2020,,,,,,,73.0,71.0,63.0,71.0,42.0,66.0,13,11,13,32,19,11,14,17,24,25,46,38,44,66,42,34,63,38,64,11,22,17,13,46,13,51,19,12,10,73,71,63,66,71, Portuguese Liga ZON SAGRES (1),0.0,0.0,2.0,['© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com'],2340,0,4
Fehmi Mert Günok,29,196,92,Turkey,Medipol Başakşehir FK,70,71,1400000,11000,Right,1,2,1,Normal,2700000.0,GK,34,01/08/2017,2020,,,,,,,69.0,69.0,68.0,70.0,56.0,71.0,15,15,14,27,16,15,16,16,28,25,55,57,53,68,50,24,70,39,71,15,35,25,15,51,16,56,22,13,12,69,69,68,71,70, Turkish Süper Lig (1),10.0,0.0,22.0,"['79/79', '79/79', '78/79  Second best GK in league', '', 'He is better than Sommer (84)', '', 'Needs a rating like 82. ', 'Euro 2020 qualifications so far, 9 games 7 clean sheets', 'Funny passing stats. Especially he deserves at least 50 long passing.', '83 kicking', '78 79', '78/78', 'Very impressive against France', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3056,0,17
Jean-François Gillet,39,181,86,Belgium,Standard de Liège,70,70,120000,4000,Left,2,2,1,Normal,180000.0,SUB,1,11/07/2016,2020,,,,,,,66.0,72.0,69.0,69.0,39.0,75.0,9,12,16,38,14,11,11,20,33,25,39,39,62,59,60,39,67,23,62,18,26,21,11,50,23,59,23,14,12,66,72,69,75,69, Belgian Jupiler Pro League (1),2.0,1.0,9.0,"[""should have a 72 rating. He's really not the kind of goalkeeper you can count on."", ""6 penalties stopped so far this season, we need to take this guy to the Euro's to substitute him in extra time for the penalties"", 'What a hero', ""Saved three penalty's in one game :p damn"", ""tim sherwood's favourite player"", 'He signed for Mechelen', 'He really is better than 74. At least 75-76', 'i think max 75 because he is old and he dont have much experience with national team of belgium', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Marián Kelemen,38,188,84,Slovakia,Jagiellonia Białystok,70,70,120000,3000,Left,1,2,1,Normal,162000.0,GK,25,01/07/2016,2019,,,,,,,68.0,68.0,66.0,68.0,27.0,69.0,12,11,11,29,12,12,13,15,24,24,30,24,35,72,30,23,54,30,44,12,34,14,12,10,32,56,12,18,12,68,68,66,69,68, Polish T-Mobile Ekstraklasa (1),0.0,0.0,0.0,['© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com'],2509,0,6
Remko Pasveer,34,187,91,Netherlands,Vitesse,70,70,725000,6000,Right,1,4,1,Normal,1100000.0,SUB,22,05/07/2017,2020,,,,,,,68.0,70.0,72.0,69.0,43.0,70.0,15,12,13,40,18,11,18,14,36,30,46,40,57,68,36,26,65,32,71,16,29,13,15,59,28,57,11,16,18,68,70,72,70,69, Holland Eredivisie (1),0.0,0.0,2.0,"['3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",990,0,1
Trevor Carson,30,185,85,Northern Ireland,Motherwell,70,70,1100000,4000,Right,1,2,1,Normal,2000000.0,GK,1,01/07/2017,2020,,,,,,,71.0,65.0,67.0,75.0,52.0,68.0,18,17,12,13,15,16,12,19,13,18,55,50,56,65,67,22,65,43,68,14,37,17,18,60,23,50,15,11,12,71,65,67,68,75, Scottish Premiership (1),1.0,0.0,4.0,[],1021,0,2
Ruud Boffin,30,196,86,Belgium,Antalyaspor,70,70,1100000,8000,Right,1,2,1,Normal,2300000.0,GK,25,23/06/2017,2020,,,,,,,68.0,65.0,70.0,74.0,57.0,68.0,11,13,12,18,17,20,17,15,12,16,56,57,52,67,33,20,72,38,70,20,35,25,13,41,20,56,21,12,11,68,65,70,68,74, Turkish Süper Lig (1),0.0,0.0,1.0,['© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com'],2790,0,8
William Dutoit,29,181,76,France,KV Oostende,70,70,1200000,7000,Right,1,3,1,Normal,1800000.0,GK,28,01/01/2017,2020,,,,,,,71.0,67.0,66.0,72.0,46.0,70.0,12,16,13,25,16,15,14,18,19,23,46,46,52,66,63,18,74,26,56,18,23,18,16,46,25,46,17,13,16,71,67,66,70,72, Belgian Jupiler Pro League (1),0.0,0.0,2.0,"['Amazing game vs Gent', 'In top form, class act goalkeeper', 'deserved', 'Plays good games, gets a potential downgrade... EA Logic', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",1170,0,0
Rúnar Alex Rúnarsson,23,186,76,Iceland,Dijon FCO,69,79,1300000,4000,Right,1,2,1,Normal,2900000.0,GK,1,01/07/2018,2022,,,,,,,70.0,68.0,72.0,67.0,46.0,67.0,18,14,17,27,13,13,17,14,15,32,45,46,42,62,55,16,59,41,56,15,23,23,16,39,22,58,12,19,15,70,68,72,67,67, French Ligue 1 (1),4.0,0.0,26.0,"['64/72', 'What a name', 'Actually a bit common in Iceland to have the same name as your father, I had a great grandfather whose name was Tyrfingur Tyrfingsson, his father was Tyrfingur Tyrfingson, and his father was Tyrfingur Jónsson...', 'I know, have some Icelandic friends here in Sweden but it makes me smile every time ^_^', 'Yeah, his father is Rúnar Kristinsson :)', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2250,0,5
Mirko Salvi,24,188,80,Switzerland,FC Luzern,69,77,1200000,5000,Right,1,3,1,Normal,,GK,14,,2019,,,,,,,70.0,69.0,64.0,70.0,39.0,66.0,16,13,10,21,15,13,19,19,20,24,44,35,50,63,54,22,65,38,67,18,34,16,13,60,24,61,14,10,12,70,69,64,66,70, Swiss Super League (1),1.0,0.0,17.0,"['Well', 'Well', 'Well', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",900,0,1
Jannik Huth,24,185,80,Germany,1. FSV Mainz 05,69,77,1200000,8000,Right,1,4,1,Normal,2300000.0,RES,33,01/07/2015,2020,,,,,,,70.0,65.0,74.0,72.0,55.0,66.0,17,16,10,33,15,22,22,15,30,24,54,55,50,66,44,25,74,32,63,14,28,25,20,42,24,41,22,14,11,70,65,74,66,72, German 1. Bundesliga (1),5.0,0.0,16.0,"['72/80', '73/82', '74/83', '68/79', 'Should have a 68/77 rating', '', 'Wtf so underrated?  Should be 70/80 at least', 'But he is already 23', 'Keepers are late bloomers', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Ortwin De Wolf,21,190,83,Belgium,Sporting Lokeren,69,77,1200000,4000,Left,1,3,1,Lean,2000000.0,GK,12,01/05/2016,2021,,,,,,,67.0,70.0,76.0,71.0,35.0,69.0,11,8,12,22,9,9,10,10,21,18,33,37,39,59,22,19,53,23,62,8,26,9,7,33,16,29,11,10,14,67,70,76,69,71, Belgian Jupiler Pro League (1),4.0,0.0,13.0,"['70/82', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",1800,0,5
Panagiotis Tsintotas,20,192,90,Greece,AEK Athens,69,77,1200000,1000,Right,1,2,1,Lean,2800000.0,SUB,16,01/07/2017,2023,,,,,,,70.0,70.0,68.0,73.0,30.0,59.0,13,10,14,20,10,11,13,15,27,16,35,25,37,70,30,23,50,32,70,10,36,10,10,57,12,57,17,11,12,70,70,68,59,73, Greek Super League (1),0.0,0.0,6.0,"[""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",360,0,1
Lefteris Choutesiotis,23,184,74,Greece,Olympiacos CFP,69,75,1100000,1000,Right,1,3,1,Lean,2400000.0,RES,1,01/07/2013,2018,,,,,,,72.0,65.0,60.0,74.0,56.0,66.0,12,15,18,25,17,20,21,21,22,18,60,52,66,62,50,47,70,34,62,12,19,12,12,45,26,54,18,15,12,72,65,60,66,74, Greek Super League (1),0.0,0.0,1.0,"[""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Andreas Linde,24,196,93,Sweden,Molde FK,69,74,1000000,3000,Right,1,2,1,Lean,1300000.0,GK,1,28/01/2015,2019,,,,,,,72.0,66.0,65.0,72.0,49.0,67.0,16,13,12,22,12,20,13,12,18,18,48,49,30,60,32,21,60,25,70,19,18,22,15,54,23,55,18,14,11,72,66,65,67,72, Norwegian Eliteserien (1),1.0,0.0,19.0,"['Why was he removed?', 'Signed for Molde!', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2880,0,6
Cican Stanković,25,186,80,Austria,FC Red Bull Salzburg,69,74,1000000,11000,Right,1,4,1,Lean,1600000.0,SUB,1,01/07/2015,2020,,,,,,,74.0,67.0,60.0,72.0,44.0,64.0,16,8,19,24,11,14,12,19,21,23,40,47,65,58,55,22,73,30,64,14,25,22,10,37,20,23,20,14,15,74,67,60,64,72, Austrian Football Bundesliga (1),1.0,0.0,9.0,"[""Atze's probably gonna take over"", 'Seems to be more consistent this year, but he still makes some fatal mistakes', '72/76', '70/75', 'Made a big mistake in picking Austria over BiH.', 'A few mistakes ended his Salzburg Career...', 'lol', 'How things change ', '70/81', 'No too high, he makes a lot of mistakes in terms of handling but his Reflexes are really good. I would say 68/76 for now', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2520,0,11
